invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons;;,cluster
INV-33193800019,2021-01-04,5687,Casey's General Store #3756 / Cedar Rapids,4560 16th Ave SW,Cedar Rapids,52404.0,POINT (-91.729434 41.963815000000004),57.0,LINN,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10807.0,Crown Royal Regal Apple,12.0,750.0,15.59,23.39,12.0,280.68,9.0,2.37;;,0.0
INV-33179700037,2021-01-04,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11.0,BUENA VIST,1011200.0,Straight Bourbon Whiskies,259.0,Heaven Hill Brands,17956.0,Evan Williams Black,12.0,750.0,8.0,12.0,2.0,24.0,1.5,0.39;;,1.0
INV-33175100076,2021-01-04,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266.0,POINT (-93.808855 41.598515),77.0,POLK,1051100.0,American Brandies,205.0,E & J Gallo Winery,52595.0,E & J VS PET,12.0,750.0,6.5,9.75,12.0,117.0,9.0,2.37;;,1.0
"INV-33186000050,2021-01-04,4945,Osage Liquors,""508, Main St"",Osage,50461.0,POINT (-92.814028 43.284116),66,MITCHELL,1081400.0,American Schnapps,65.0,Jim Beam Brands,82847,Dekuyper Luscious Peachtree,12,1000,7.87,11.81,2,23.62,2,0.52;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33188900063,2021-01-04,2616,Hy-Vee Food and Drug / Clinton,901 South 4th St,Clinton,52732.0,POINT (-90.193204 41.836268000000004),23.0,CLINTON,1081400.0,American Schnapps,421.0,SAZERAC COMPANY  INC,82957.0,Firewater Cinnamon Schnapps,12.0,1000.0,9.87,14.81,3.0,44.43,3.0,0.79;;,2.0
INV-33202600016,2021-01-04,5336,Express Mart,4804 S Highway 61,Muscatine,52761.0,,70.0,MUSCATINE,1082200.0,Imported Schnapps,421.0,SAZERAC COMPANY  INC,69611.0,Dr McGillicuddys Apple Pie,12.0,750.0,8.66,12.99,3.0,38.97,2.25,0.59;;,
INV-33173900048,2021-01-04,4068,Sa Petro Mart,136  1ST ST,West Des Moines,50265.0,POINT (-93.703344 41.570743),77.0,POLK,1031200.0,American Flavored Vodka,205.0,E & J Gallo Winery,39492.0,New Amsterdam Pink Whitney,12.0,750.0,7.5,11.25,12.0,135.0,9.0,2.37;;,1.0
INV-33194600006,2021-01-04,6061,Brooklyn Grocery,122 E Front St,Brooklyn,52211.0,POINT (-92.444377 41.728699),79.0,POWESHIEK,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,19068.0,Jim Beam,6.0,1750.0,21.0,31.5,6.0,189.0,10.5,2.77;;,3.0
INV-33168700038,2021-01-04,5566,East End Liquor & Tobacco,3804 Hubbell Ave,Des Moines,50317.0,POINT (-93.541351 41.630849),77.0,POLK,1022200.0,100% Agave Tequila,395.0,PROXIMO,87402.0,Jose Cuervo Especial Silver,48.0,200.0,3.0,4.5,48.0,216.0,9.6,2.53;;,1.0
INV-33192300021,2021-01-04,3666,Target Store T-1771 / Cedar Rapids,3400 Edgewood Rd SW,Cedar Rapids,52404.0,POINT (-91.716111 41.944272),57.0,LINN,1031200.0,American Flavored Vodka,259.0,Heaven Hill Brands,40327.0,Deep Eddy Ruby Red Grapefruit,12.0,750.0,8.5,12.75,12.0,153.0,9.0,2.37;;,0.0
"INV-33171400013,2021-01-04,5222,Leo1  /  Cedar Rapids,""1500, 1st  Ave NE"",Cedar Rapids,52402.0,POINT (-91.652082 41.988229),57,LINN,1022200.0,100% Agave Tequila,370.0,PERNOD RICARD USA,87150,Avion Silver,6,750,20.98,31.47,6,188.82,4.5,1.18;;,,,,,,,,,,,,,,,,,,,,,,,,";;
"INV-33201200051,2021-01-04,4967,Jeff's Market / Blue Grass,""102, W Mayne St"",Blue Grass,52726.0,POINT (-90.766126 41.509119),82,SCOTT,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,28043,Jim Beam Vanilla,12,750,10.5,15.75,1,15.75,0.75,0.19;;,,,,,,,,,,,,,,,,,,,,,,,,";;
"INV-33172100028,2021-01-04,5207,Jim's Foods  /  Cedar Rapids,""812, Sixth  St SW"",Cedar Rapids,52404.0,POINT (-91.67707300000001 41.968016000000006),57,LINN,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64870,Fireball Cinnamon Whiskey,48,100,0.9,1.35,240,324,24,6.34;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33171200035,2021-01-04,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402.0,POINT (-91.650755 41.988967),57.0,LINN,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64866.0,Fireball Cinnamon Whiskey,12.0,750.0,9.0,13.5,12.0,162.0,9.0,2.37;;,0.0
INV-33189700002,2021-01-04,5910,Eldridge Mart,209 E. Le Claire Rd,Eldridge,52748.0,POINT (-90.58154 41.654676),82.0,SCOTT,1901200.0,Special Order Items,421.0,SAZERAC COMPANY  INC,937599.0,SOOH Relska 80 Proof Vodka,6.0,1750.0,7.17,10.76,6.0,64.56,10.5,2.77;;,0.0
"INV-33186700005,2021-01-04,4110,""Brothers Market, Inc."",706 Highway 57,Parkersburg,50665.0,POINT (-92.785196 42.570357),12,BUTLER,1011200.0,Straight Bourbon Whiskies,619.0,Campari America,22156,Wild Turkey 101,12,750,14,21,12,252,9,2.37;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33181800082,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807.0,POINT (-90.548919 41.55678100000001),82.0,SCOTT,1081300.0,American Cordials & Liqueur,322.0,Prestige Wine & Spirits Group,75210.0,Kinky Pink,6.0,750.0,10.0,15.0,6.0,90.0,4.5,1.18;;,0.0
INV-33176900006,2021-01-04,2689,Hy-Vee C-Store - Douglas,8607 Douglas Ave,Urbandale,50322.0,POINT (-93.736825 41.629429),77.0,POLK,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64870.0,Fireball Cinnamon Whiskey,48.0,100.0,0.9,1.35,192.0,259.2,19.2,5.07;;,1.0
INV-33168700028,2021-01-04,5566,East End Liquor & Tobacco,3804 Hubbell Ave,Des Moines,50317.0,POINT (-93.541351 41.630849),77.0,POLK,1041100.0,American Dry Gins,65.0,Jim Beam Brands,30238.0,Gilbeys Gin,6.0,1750.0,10.49,15.74,3.0,47.22,5.25,1.38;;,1.0
INV-33170400111,2021-01-04,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404.0,POINT (-91.658577 41.955859),57.0,LINN,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11786.0,Black Velvet PET,12.0,750.0,5.23,7.85,12.0,94.2,9.0,2.37;;,0.0
INV-33174200027,2021-01-04,5385,Vine Food & Liquor,2704 Vine St.,West Des Moines,50265.0,POINT (-93.741511 41.580206),77.0,POLK,1052100.0,Imported Brandies,389.0,REMY COINTREAU USA INC,49185.0,Remy Martin VSOP Flask,12.0,375.0,12.29,18.44,12.0,221.28,4.5,1.18;;,1.0
INV-33182600021,2021-01-04,2567,Hy-Vee Drugstore / Davenport,2200 West Kimberly,Davenport,52806.0,POINT (-90.608201 41.560663),82.0,SCOTT,1031200.0,American Flavored Vodka,380.0,Phillips Beverage,41681.0,UV Red Cherry,6.0,1750.0,11.5,17.25,3.0,51.75,5.25,1.38;;,0.0
INV-33181800229,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807.0,POINT (-90.548919 41.55678100000001),82.0,SCOTT,1062200.0,White Rum,55.0,SAZERAC NORTH AMERICA,44348.0,Calypso Silver Rum,6.0,1750.0,9.0,13.5,18.0,243.0,31.5,8.32;;,0.0
INV-33181100116,2021-01-04,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52.0,JOHNSON,1032100.0,Imported Vodkas,260.0,DIAGEO AMERICAS,34457.0,Ketel One,12.0,1000.0,15.16,22.74,12.0,272.88,12.0,3.17;;,3.0
"INV-33172900004,2021-01-04,5230,Point Liquor & Tobacco,""3221, Center Point Rd NE"",Cedar Rapids,52402.0,POINT (-91.663629 42.01133),57,LINN,1052100.0,Imported Brandies,389.0,REMY COINTREAU USA INC,49084,Remy Martin 1738 Accord Royal,12,375,13.82,20.73,60,1243.8,22.5,5.94;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33190100036,2021-01-04,4269,Tipton Family Foods,610 Cedar St,Tipton,52772.0,POINT (-91.128389 41.771753),16.0,CEDAR,1031200.0,American Flavored Vodka,259.0,Heaven Hill Brands,41670.0,Burnetts Blue Raspberry,12.0,750.0,4.5,6.75,3.0,20.25,2.25,0.59;;,0.0
INV-33181800187,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807.0,POINT (-90.548919 41.55678100000001),82.0,SCOTT,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11777.0,Black Velvet,12.0,1000.0,6.63,9.95,12.0,119.4,12.0,3.17;;,0.0
INV-33168300005,2021-01-04,4910,Prime Mart #3 / Waterloo,1008 Laporte Rd,Waterloo,50702.0,POINT (-92.322988 42.47658),7.0,BLACK HAWK,1052100.0,Imported Brandies,389.0,REMY COINTREAU USA INC,49084.0,Remy Martin 1738 Accord Royal,12.0,375.0,13.82,20.73,60.0,1243.8,22.5,5.94;;,0.0
INV-33195200028,2021-01-04,2465,Sid's Beverage Shop,2727 Dodge St,Dubuque,52003.0,POINT (-90.705328 42.491862),31.0,DUBUQUE,1032200.0,Imported Flavored Vodka,370.0,PERNOD RICARD USA,34036.0,Absolut Pears,12.0,750.0,9.99,14.99,3.0,44.97,2.25,0.59;;,2.0
"INV-33172100031,2021-01-04,5207,Jim's Foods  /  Cedar Rapids,""812, Sixth  St SW"",Cedar Rapids,52404.0,POINT (-91.67707300000001 41.968016000000006),57,LINN,1011100.0,Blended Whiskies,297.0,Laird & Company,23823,Five Star,48,200,1.31,1.97,48,94.56,9.6,2.53;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33170400029,2021-01-04,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404.0,POINT (-91.658577 41.955859),57.0,LINN,1011100.0,Blended Whiskies,297.0,Laird & Company,23824.0,Five Star,24.0,375.0,2.09,3.14,24.0,75.36,9.0,2.37;;,0.0
INV-33185400027,2021-01-04,4547,Fareway Stores #902 / Hampton,309 Central Ave West,Hampton,50441.0,POINT (-93.211676 42.741748),35.0,FRANKLIN,1081400.0,American Schnapps,434.0,LUXCO INC,81206.0,Paramount Peppermint Schnapps,12.0,750.0,4.0,6.0,12.0,72.0,9.0,2.37;;,0.0
INV-33176400001,2021-01-04,3871,Target Store T-0069 / Wdm,1800  35th St,West Des Moines,50266.0,POINT (-93.75199800000001 41.598813),77.0,POLK,1011400.0,Tennessee Whiskies,85.0,Brown Forman Corp.,26828.0,Jack Daniels Old #7 Black Label,6.0,1750.0,30.68,46.02,6.0,276.12,10.5,2.77;;,1.0
INV-33200200013,2021-01-04,5847,Moti's Food,1717 West 3rd Street,Davenport,52802.0,POINT (-90.601884 41.522305),82.0,SCOTT,1011100.0,Blended Whiskies,65.0,Jim Beam Brands,27544.0,Red Stag Black Cherry,12.0,750.0,10.5,15.75,1.0,15.75,0.75,0.19;;,0.0
INV-33194300007,2021-01-04,5190,Guppy's On The Go / Walford,200 Hwy 151 E,Walford,52351.0,POINT (-91.828571 41.881821),57.0,Linn,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10807.0,Crown Royal Regal Apple,12.0,750.0,15.59,23.39,5.0,116.95,3.75,0.99;;,3.0
INV-33180000014,2021-01-04,5326,Als Liquor,215 W. Milwaukee Ave,Storm Lake,50588.0,POINT (-95.202405 42.647492),11.0,BUENA VIST,1022200.0,100% Agave Tequila,85.0,Brown Forman Corp.,89329.0,Herradura Anjeo,6.0,750.0,30.0,45.0,6.0,270.0,4.5,1.18;;,1.0
INV-33181400002,2021-01-04,4640,Mart Stop #1 / Davenport,3527 Spring St,Davenport,52807.0,POINT (-90.547751 41.5563),82.0,SCOTT,1081300.0,American Cordials & Liqueur,322.0,Prestige Wine & Spirits Group,75213.0,Kinky Blue,12.0,375.0,5.0,7.5,12.0,90.0,4.5,1.18;;,0.0
INV-33181800071,2021-01-04,2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E Kimberly Rd,Davenport,52807.0,POINT (-90.548919 41.55678100000001),82.0,SCOTT,1082000.0,Imported Cordials & Liqueurs,619.0,Campari America,64996.0,Frangelico Liqueur,12.0,750.0,15.5,23.25,3.0,69.75,2.25,0.59;;,0.0
INV-33178300047,2021-01-04,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14.0,CARROLL,1082000.0,Imported Cordials & Liqueurs,85.0,Brown Forman Corp.,64676.0,Chambord Liqueur Royale De France,12.0,750.0,19.08,28.62,2.0,57.24,1.5,0.39;;,1.0
INV-33174600041,2021-01-04,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265.0,POINT (-93.773557 41.561197),77.0,POLK,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64863.0,Fireball Cinnamon Whiskey,48.0,200.0,2.5,3.75,48.0,180.0,9.6,2.53;;,1.0
INV-33174600044,2021-01-04,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265.0,POINT (-93.773557 41.561197),77.0,POLK,1041100.0,American Dry Gins,370.0,PERNOD RICARD USA,32231.0,Seagrams Extra Dry Gin Mini,12.0,50.0,3.3,4.95,2.0,9.9,0.1,0.02;;,1.0
INV-33171200004,2021-01-04,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402.0,POINT (-91.650755 41.988967),57.0,LINN,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,11294.0,Crown Royal,24.0,375.0,8.0,12.0,12.0,144.0,4.5,1.18;;,0.0
INV-33189600047,2021-01-04,5910,Eldridge Mart,209 E. Le Claire Rd,Eldridge,52748.0,POINT (-90.58154 41.654676),82.0,SCOTT,1011400.0,Tennessee Whiskies,85.0,Brown Forman Corp.,86691.0,Jack Daniels Tennessee Fire Mini,12.0,50.0,9.06,13.59,2.0,27.18,0.1,0.02;;,0.0
"INV-33198000014,2021-01-04,4694,Rina Mart LLC / Davenport,""3815, West Kimberly Rd"",Davenport,52806.0,POINT (-90.631357 41.561712),82,SCOTT,1031200.0,American Flavored Vodka,380.0,Phillips Beverage,41989,UV Cake,12,750,7,10.5,12,126,9,2.37;;,,,,,,,,,,,,,,,,,,,,,,,,";;
